"","Draft-Year","GP","MIN","PTS","FGA","FGP","3PA","3PP","FTA","FTP","OREB","DREB","AST","BLK","PF","Classe"
"Enes Freedom","2011","66","13.2","4.6","3.6","49.6","0","0","1.6","66.7","1.6","2.6","0.1","0.3","1.3","1"
"Tristan Thompson","2011","60","23.7","8.2","7.4","43.9","0","0","3.2","55.2","3.1","3.4","0.5","1","2.2","1"
"Bismack Biyombo","2011","63","23.1","5.2","4.4","46.4","0","0","2.3","48.3","1.8","4","0.4","1.8","2.3","1"
"Brandon Knight","2011","66","32.2","12.8","11.7","41.5","4.2","38","2.1","75.9","0.5","2.7","3.8","0.2","2.3","1"
"Kemba Walker","2011","66","27.2","12.1","11.6","36.6","3.4","30.5","3.2","78.9","0.5","3.1","4.4","0.3","1.2","1"
"Jimmer Fredette","2011","61","18.6","7.6","7.3","38.6","3.5","36.1","0.8","83.3","0.3","0.9","1.8","0","1.2","1"
"Klay Thompson","2011","66","24.4","12.5","10.9","44.3","4.1","41.4","1.4","86.8","0.4","2.1","2","0.3","2.3","1"
"Alec Burks","2011","59","15.9","7.2","6.1","42.9","0.8","33.3","2.4","72.7","1","1.3","0.9","0.1","1.4","1"
"Markieff Morris","2011","63","19.5","7.4","6.9","39.9","2","34.7","1.7","71.7","1.1","3.3","1","0.7","2.8","1"
"Kawhi Leonard","2011","64","24","7.9","6.3","49.3","1.7","37.6","1.4","77.3","1.6","3.5","1.1","0.4","1.4","1"
"Nikola Vucevic","2011","51","15.9","5.5","5.7","45","0.2","37.5","0.7","52.9","1.7","3.1","0.6","0.7","2.2","1"
"Iman Shumpert","2011","59","28.9","9.5","9.1","40.1","2.7","30.6","1.8","79.8","0.7","2.4","2.8","0.1","2.9","1"
"Chris Singleton","2011","66","21.7","4.6","4.7","37.2","1.9","34.6","0.7","68.2","0.7","2.9","0.7","0.5","2.7","0"
"Nolan Smith","2011","44","12.3","3.8","4.1","37.2","1","28.9","0.6","71.4","0.4","0.9","1.4","0.1","1.3","0"
"Kenneth Faried","2011","46","22.5","10.2","6.7","58.6","0","0","3.6","66.5","3.1","4.6","0.8","1","2.5","1"
"Reggie Jackson","2011","45","11.1","3.1","3.5","32.1","1.4","21","0.6","86.2","0.3","0.9","1.6","0","0.7","1"
"MarShon Brooks","2011","56","29.4","12.6","11.4","42.8","2.7","31.3","2.6","76.4","1.3","2.3","2.3","0.3","2.1","1"
"Jordan Hamilton","2011","26","9.9","4.4","4.3","43.2","1.8","36.2","0.2","40","0.4","2","0.8","0.1","0.6","1"
"JaJuan Johnson","2011","36","8.3","3.2","3.4","44.6","0","0","0.3","66.7","0.6","1.1","0.2","0.4","0.7","0"
"Norris Cole","2011","65","19.4","6.8","6.9","39.3","1.2","27.6","1.3","77.6","0.3","1.1","2","0","1.9","1"
"Cory Joseph","2011","29","9.2","2","2.4","31.4","0.5","20","0.6","64.7","0.2","0.7","1.2","0.1","0.6","1"
"Jimmy Butler","2011","42","8.5","2.6","1.9","40.5","0.3","18.2","1.3","76.8","0.5","0.8","0.3","0.1","0.5","1"
"Dexter Pittman","2010","2","5.6","1","1.5","33.3","0","0","0","0","0.5","1","0","0","1","0"
"Armon Johnson","2010","38","7.3","2.9","2.7","45.5","0.3","41.7","0.6","59.1","0.3","0.7","1.2","0","0.8","0"
"Andy Rautins","2010","5","4.8","1.6","1.4","42.9","0.8","25","0.4","50","0","0.2","0.6","0","0","0"
"Landry Fields","2010","82","31","9.7","7.3","49.7","2.7","39.3","1.8","76.9","1.3","5.1","1.9","0.2","1.4","1"
"Devin Ebanks","2010","20","5.9","3.1","2.6","41.2","0.3","40","1.2","78.3","0.8","0.6","0.1","0.3","0.4","0"
"Gani Lawal","2010","1","1.9","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Solomon Alabi","2010","12","4.9","0.5","1.3","20","0","0","0.2","0","0.6","0.6","0.2","0.2","0.4","0"
"Pape Sy","2010","3","7","2.3","2","33.3","0.3","0","1","100","0.7","0.3","0.7","0","0.3","0"
"Willie Warren","2010","19","7","1.9","1.8","37.1","0.8","33.3","0.4","75","0.1","0.6","1.4","0","0.8","0"
"Jeremy Evans","2010","49","9.4","3.6","2.3","66.1","0","0","0.8","70.3","0.7","1.2","0.5","0.3","1","1"
"Hamady Ndiaye","2010","16","5","0.9","0.3","80","0","0","0.8","50","0.1","0.3","0","0.3","1.1","0"
"Derrick Caracter","2010","41","5.2","2","1.6","48.5","0","0","0.6","73.9","0.5","0.6","0.2","0.2","1.1","0"
"John Wall","2010","69","37.8","16.4","14.1","40.9","1.7","29.6","5.7","76.6","0.5","4.1","8.3","0.5","2.5","1"
"Evan Turner","2010","78","23","7.2","6.8","42.5","0.6","31.8","1.6","80.8","0.5","3.4","2","0.2","1.8","1"
"Derrick Favors","2010","78","19.7","6.8","5.3","51.7","0","0","2.2","59.5","2.2","3.1","0.5","0.9","3.2","1"
"Wesley Johnson","2010","79","26.2","9","8.6","39.7","3.7","35.6","1.2","69.6","0.6","2.4","1.9","0.7","2.1","1"
"DeMarcus Cousins","2010","81","28.5","14.1","12.4","43","0.2","16.7","5","68.7","2.7","6","2.5","0.8","4.1","1"
